"Attention","Meditation","Delta","Theta","LowAlpha","HighAlpha","LowBeta","HighBeta","LowGamma","HighGamma","Direction"
"0","0","8840","18997","11432","10666","19114","6210","3704","1657","Down"
"0","0","7502","14791","6594","6672","5316","3866","3067","2306","Down"
"0","0","9202","26017","14194","10462","8504","7925","3121","1982","Down"
"0","0","17846","18898","4355","5887","9146","12492","7875","4084","Down"
"0","0","81399","75344","57385","32391","24023","10634","4442","3657","Down"
"0","0","752296","407124","68261","11756","14161","22357","10693","11594","Down"
"0","0","69313","53696","24440","4394","8391","3792","1543","454","Down"
"0","0","113347","26984","15022","4225","4445","4003","918","294","Down"
"0","0","55001","86297","14511","9986","8875","12587","2652","1372","Down"
"0","0","1361591","66962","16729","14046","16838","14507","2800","1217","Down"
"30","40","429141","58416","19594","10468","36709","4840","5652","1811","Down"
"24","48","438762","111821","11165","52718","25764","10459","9279","2932","Down"
"7","60","80861","71814","27764","5728","6633","3233","2272","701","Down"
"1","67","177607","34855","10258","8336","9078","3228","1044","444","Down"
"29","63","16424","26399","6297","4992","11332","9100","1256","2733","Down"
"30","78","78539","80638","54465","59562","16092","11265","2493","1235","Down"
"35","61","271468","55460","14015","2527","7681","2800","1052","175","Down"
"51","75","115649","9775","9144","3603","2401","2843","1040","353","Down"
"1","1","142387","122421","6488","3515","3486","1386","974","750","Right"
"10","1","473273","32608","9104","3052","2735","1800","570","430","Right"
"29","1","270524","75029","15621","5357","11589","7329","8255","2511","Right"
"91","44","221007","20257","10264","3336","1524","8435","3391","3038","Right"
"87","47","387223","103960","38731","2371","10509","4023","5808","1603","Right"
"83","41","227362","119063","19965","3204","3129","9846","2584","5832","Right"
"83","57","237719","8975","15117","11159","6623","5932","6096","953","Right"
"83","57","31329","11323","9059","3404","7678","8644","8417","1771","Right"
"81","56","393429","56510","20000","3447","10267","2333","1556","689","Right"
"87","70","103403","19725","11417","10469","16462","5200","5414","3302","Right"
"78","56","205624","32074","2471","12612","4406","4374","948","912","Right"
"48","50","353798","81632","8846","15461","5386","2566","1467","766","Right"
"69","60","34304","13366","15686","9810","12344","8033","4630","2706","Right"
"57","48","77007","26157","4008","3455","8252","1715","1282","559","Right"
"74","54","29570","6949","9695","5489","7787","9581","4104","3791","Right"
"100","57","13217","8216","2786","3689","5452","5609","5715","2156","Right"
"96","51","49676","10562","2442","6501","6362","3231","4560","1718","Right"
"100","63","18887","22593","8460","6992","5818","6521","4878","1295","Right"
"96","61","7977","23405","18621","4634","10029","6168","2728","1876","Right"
"61","54","85275","64314","11765","2654","2951","967","780","789","Right"
"67","50","76462","12352","3240","3843","4870","5844","3941","1795","Right"
"70","44","5627","26575","6266","6072","3647","9466","3522","2374","Right"
"69","41","154284","29236","10320","5714","1529","5488","669","1057","Right"
"87","40","70027","39412","4434","4036","5389","2987","1424","1068","Right"
"91","40","8689","8498","5004","6048","3386","24792","3260","1590","Right"
"90","40","21289","10770","4847","3687","6774","9367","3011","4081","Right"
"94","35","7806","16142","3674","6511","5580","10095","4080","3014","Right"
"100","57","8612","3525","12400","3411","6705","4507","3017","2102","Right"
"87","81","24159","1622","14287","22019","6221","9563","7875","2602","Right"
"84","87","14298","9981","9599","6079","8042","11146","4381","1525","Right"
"83","90","2870","15890","4671","6008","4875","7331","2416","2661","Right"
"84","78","6620","7646","6430","3826","6697","4798","2955","3414","Right"
"66","38","42011","48098","1361","3227","2135","1634","2292","456","Right"
"57","41","934","9612","10628","2688","6267","3623","4132","1218","Right"
"64","35","9570","8428","1844","2819","8128","7699","4325","1735","Right"
"64","23","8584","21089","2969","3795","1464","6579","2118","1431","Right"
"80","56","252456","2619","5599","1302","1078","1930","1816","936","Right"
"83","56","5143","18603","15548","5654","1751","8769","3238","723","Right"
"69","66","14474","36249","14483","20987","31591","8624","3126","2158","Right"
"53","63","1793545","500443","59935","35186","12452","19945","4358","4876","Right"
"51","44","4751","13742","5326","502","2911","3472","2522","1619","Right"
"48","35","4425","10566","2606","4768","10085","2867","4433","1818","Right"
"51","34","3235","14949","5255","5344","6635","4799","2287","4750","Right"
"69","35","12311","8688","1678","3205","13222","4023","3882","1048","Right"
"67","60","9865","3614","8260","16268","4444","3501","2500","2217","Right"
"67","77","15880","15671","33201","4934","4717","8357","4258","1508","Right"
"77","78","6780","6861","3313","7368","6543","8600","1801","4160","Right"
"63","94","37881","48038","25129","8559","4019","4715","3042","1057","Right"
"70","60","17472","19978","4909","5472","9314","5517","2813","3187","Right"
"70","54","40709","26235","10892","11487","21109","24597","3642","1939","Right"
"67","38","100934","26042","13330","5549","10435","4034","4662","2519","Right"
"63","44","42607","28547","16643","4423","5564","5024","4610","2392","Right"
"44","61","17511","11068","14405","9137","7573","2548","2946","3267","Right"
"54","56","12624","18771","3142","1473","9279","8157","1816","2297","Right"
"48","56","33312","32148","8839","9029","2111","2211","748","736","Right"
"41","54","110884","116953","35796","13781","9086","4663","1983","3113","Right"
"43","60","24315","25451","5391","3382","4686","15600","3848","6698","Right"
"48","37","220836","94461","4001","8987","27021","19923","5136","2693","Left"
"57","30","23777","16348","2739","5145","4312","8455","2840","2940","Left"
"74","26","7812","7663","9585","3648","16149","7521","2462","2437","Left"
"83","7","9873","22348","1520","1996","7526","7323","2183","3227","Left"
"84","26","11143","17540","3977","10979","8829","7076","4383","2598","Left"
"80","35","4396","21149","11908","6517","7983","7631","4549","785","Left"
"70","40","5286","13501","13897","12132","20681","5947","2043","1055","Left"
"61","38","10687","28913","9031","3105","5018","5239","1783","3056","Left"
"74","30","10089","7543","5329","5870","7120","12148","2427","2640","Left"
"74","27","9168","20339","2243","5635","7456","5851","2684","2102","Left"
"75","41","20186","13084","4201","7874","5788","4020","1681","1102","Left"
"88","34","10445","9961","3604","940","8734","10148","3968","2639","Left"
"74","30","5040","39715","14185","2437","9874","5228","3318","1099","Left"
"70","38","15946","47069","12493","17841","8753","14981","2035","2445","Left"
"60","44","116892","41354","33900","10488","5169","3511","3919","3984","Left"
"44","57","387522","58732","37329","2501","29104","9688","5491","2464","Left"
"40","41","357427","32877","2400","788","1528","2188","302","660","Left"
"27","43","154459","36925","4856","13578","3686","2579","440","470","Left"
"34","51","49409","3064","17949","6900","4560","6910","2321","1993","Left"
"40","69","18838","22925","11783","1316","7274","5690","6037","961","Left"
"80","48","10062","11892","7886","1105","5296","12536","3937","1352","Left"
"77","38","19643","6984","9849","9174","14027","3853","3730","3056","Left"
"90","40","22296","6294","1278","7703","7008","11139","5086","1137","Left"
"91","44","23859","23536","2428","4546","5120","8322","2899","2576","Left"
"87","48","19648","29550","16449","4246","7348","14561","4358","1428","Left"
"83","27","28940","63252","5378","6299","1758","8479","4618","1223","Left"
"67","30","114840","11569","1409","5251","1438","2216","1845","468","Left"
"54","44","66564","7410","1458","3817","1219","728","588","138","Left"
"47","41","110543","14059","1537","4813","2199","2522","1190","326","Left"
"51","47","15554","29532","7077","7232","16955","7911","3852","2212","Left"
"60","34","71523","26683","3043","11757","6399","18474","4164","2903","Left"
"54","47","7947","26439","14996","3818","3460","5970","2832","3708","Left"
"74","70","33829","30509","1230","11166","2397","9745","6877","1173","Left"
"60","74","62760","39776","5066","10475","2657","6148","5715","3215","Left"
"74","70","5742","10506","6532","6286","4024","12434","4894","3396","Left"
"80","69","16864","7033","5127","9218","10522","6921","7955","1093","Left"
"78","77","5183","13313","9005","7626","8207","6182","13793","1432","Left"
"87","78","17047","16980","7087","6548","5179","8621","5465","4782","Left"
"84","83","22312","16701","18771","12569","5630","20063","7914","3457","Left"
"87","78","2564","13223","6750","3691","6237","9455","2280","3913","Left"
"88","66","35168","38867","6822","6406","7420","11477","12569","1144","Left"
"87","57","10072","23343","2459","4635","3628","6704","4741","1261","Left"
"77","60","2247","13358","16936","2599","2758","5132","6348","1335","Left"
"75","64","77958","8805","7010","4686","5901","6428","3115","1917","Left"
"75","77","9252","9737","11623","11974","16550","8762","6478","2679","Left"
"63","80","40769","47517","12678","29781","5601","7909","1810","3152","Left"
"56","80","20516","24086","11501","9125","5423","6297","1961","4533","Left"
"60","67","2868","16134","3080","3478","3989","10615","3903","3376","Left"
"66","69","58141","36640","18476","7441","8724","14111","3297","1692","Left"
"80","64","11714","11200","2909","8068","3348","9448","4700","1734","Left"
"84","54","15188","14257","2724","2296","4137","5981","3904","2502","Left"
"75","70","8513","10271","9277","7166","4347","3610","6407","3819","Left"
"70","74","12384","22595","3046","13090","3906","5866","2193","2788","Left"
